ID, Compulsory, Natural, Social
BD1200661 15.1 16 0
BD1200662 7.45 0 9
BD1200663 13.9 13.25 15.25
BD1200664 14.3 12.75 13
BD1200665 8.3 0 12.5
BD1200666 15.05 13.75 0
BD1200667 11 0 15.25
BD1200668 12.55 11.25 0
BD1200669 17.1 0 16.75
BD1200670 20.6 16.75 0
BD1200671 21.6 18.25 0
BD1200672 18.9 0 22.25
BD1200673 18.4 17.75 0
BD1200674 17.5 0 26.25
BD1200675 14.1 0 14.5
BD1200676 22.45 18 0
BD1200677 17.4 0 18.25
BD1200678 9.2 7.75 16.75
BD1200679 12.35 0 17.75
BD1200680 20 18.25 0
BD1200681 21.05 12 0
BD1200682 20.25 16.25 0
BD1200683 20.8 0 24.25
BD1200684 13 8.25 17
BD1200685 14.75 0 16.25
BD1200686 10.8 11.25 16
BD1200687 15.9 14.75 17.25
BD1200688 14.9 0 20
BD1200689 22.9 0 24.25
BD1200690 14.35 11 16.5
BD1200691 7 0 16
BD1200692 10.75 0 19.25
BD1200693 7.75 0 4.75
BD1200694 19.85 0 23
BD1200695 16.6 10.75 20.25
BD1200696 24.8 0 20
BD1200697 16.9 14.75 0
BD1200698 20.2 0 18
BD1200699 8.9 0 17.75
BD1200700 12.2 9.25 13.5
BD1200701 13.2 12.5 0
BD1200702 12.55 0 16
BD1200703 17.7 19.25 0
BD1200704 11.7 0 15.75
BD1200705 11.05 0 17.75
BD1200706 12.55 0 13.25
BD1200707 15.05 14 11.75
BD1200708 20.25 0 19.75
BD1200709 15.4 0 24
BD1200710 15 0 22
BD1200711 10 6.5 13.5
BD1200712 17.1 13.25 0
BD1200713 20.6 20.75 0
BD1200714 16.55 0 18.75
BD1200715 10.65 0 15
BD1200716 11.4 8.75 10.75
BD1200717 14.1 0 16.75
BD1200718 15.9 13.25 19.5
BD1200719 15.4 15.75 0
BD1200720 17.75 17 0
BD1200721 14.75 15.25 18.75
BD1200722 11.1 0 13.5
